pid,label,subject,_date,writing,order,layout,collection,thumbnail,full,manifest
sf2,Family Photo 3,Photo of Chip with Family,1948,,1,sf_item,sf,"/img/derivatives/iiif/images/sf2/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf2/full/full/0/default.jpg,/img/derivatives/iiif/sf2/manifest.json
sf10,Triton Book Cover,Book Cover First Edition,1977,,10,sf_item,sf,"/img/derivatives/iiif/images/sf10/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf10/full/full/0/default.jpg,/img/derivatives/iiif/sf10/manifest.json
sf11,Facebook Post Screenshot,Chip Selfie,2016,,11,sf_item,sf,"/img/derivatives/iiif/images/sf11/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf11/full/full/0/default.jpg,/img/derivatives/iiif/sf11/manifest.json
sf12,Facebook Post De Bord,Society of the Spectacle,2016,"In his book COMMENTS ON THE SOCIETY OF THE SPECTACLE (1988), Guy Debord presents a meditation on what I would call ""misinformation."" He begins by calling it ""unanswerable lies."" He also associate it with ""disinformation"" and goes to ""the fabulous realm of unverifiable stories, uncheckable statistics, unlikely explanations and untenable reasoning."" It is filled with extraordinary insights: Because so many ecological elements--the ozone layer, a population of starfish that suddenly begin to tear themselves to pieces in the presence of one or another pollutant, or a plant that goes extinct somewhere in South America--have no attested market value, ""it is highly dangerous to base an industrial strategy on environmental imperatives."" Climate change deniers do have market value--which is why we will go on manufacturing them, all over the world. ""Where disinformation is named, it does not exist. Where it exists, it is not named."" Considering it was written when it was, it is an uncanny analysis of what has produced much of our present problems, in terms of isolation, and terrorism, and general malaise. With its 1967 prequel, THE SOCIETY OF THE SPECTACLE, a consideration of the defuse and concentrated forms of ""spectacular power,"" these are two extraordinary performances.",12,sf_item,sf,"/img/derivatives/iiif/images/sf12/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf12/full/full/0/default.jpg,/img/derivatives/iiif/sf12/manifest.json
sf13,Facebook Post Gay Pride ,Gay Pride in Giovanni's Room,2019,Leaving Giovanni’s Room on Gay Pride Day . . .,13,sf_item,sf,"/img/derivatives/iiif/images/sf13/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf13/full/full/0/default.jpg,/img/derivatives/iiif/sf13/manifest.json
sf1,Family Photo 2,Photo of Chip and Aunt,1948,,2,sf_item,sf,"/img/derivatives/iiif/images/sf1/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf1/full/full/0/default.jpg,/img/derivatives/iiif/sf1/manifest.json
sf3,Family Photo,Photo of Chip and Aunts,1950,,3,sf_item,sf,"/img/derivatives/iiif/images/sf3/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf3/full/full/0/default.jpg,/img/derivatives/iiif/sf3/manifest.json
sf4,Fall of Towers Book Cover,Book Cover First Edition,1962,,4,sf_item,sf,"/img/derivatives/iiif/images/sf4/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf4/full/full/0/default.jpg,/img/derivatives/iiif/sf4/manifest.json
sf5,City Thousand Book Cover,Book Cover First Edition,1964,,5,sf_item,sf,"/img/derivatives/iiif/images/sf5/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf5/full/full/0/default.jpg,/img/derivatives/iiif/sf5/manifest.json
sf7,Storme Photo,Photo of Storme Delarvier,1966,,6,sf_item,sf,"/img/derivatives/iiif/images/sf7/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf7/full/full/0/default.jpg,/img/derivatives/iiif/sf7/manifest.json
sf6,Babel 17 Book Cover,Book Cover First Edition,1966,,7,sf_item,sf,"/img/derivatives/iiif/images/sf6/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf6/full/full/0/default.jpg,/img/derivatives/iiif/sf6/manifest.json
sf8,Einstein Book Cover,Book Cover First Edition,1967,,8,sf_item,sf,"/img/derivatives/iiif/images/sf8/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf8/full/full/0/default.jpg,/img/derivatives/iiif/sf8/manifest.json
sf9,Dhalgren Book Cover,Book Cover First Edition,1975,,9,sf_item,sf,"/img/derivatives/iiif/images/sf9/full/250,/0/default.jpg",/img/derivatives/iiif/images/sf9/full/full/0/default.jpg,/img/derivatives/iiif/sf9/manifest.json
